อาการ,คะแนน,ข้อความแสดงผล,ข้อความเสียงพูด
"1. อาการปวด (Pain)",0,"ไม่มีอาการปวดเลย สบายดี 😊","ระดับศูนย์ ไม่มีอาการปวดเลย สบายดีค่ะ"
"1. อาการปวด (Pain)",1,"ปวดเล็กน้อยมากๆ พอรู้สึกได้ 👍","ระดับหนึ่ง ปวดเล็กน้อยมากๆ พอรู้สึกได้ค่ะ"
"1. อาการปวด (Pain)",2,"ปวดรำคาญเล็กน้อย ยังทำกิจกรรมได้ปกติ 👍","ระดับสอง ปวดรำคาญเล็กน้อย ยังทำกิจกรรมได้ตามปกติค่ะ"
"1. อาการปวด (Pain)",3,"ปวดระดับน้อย เริ่มรบกวนสมาธิบ้าง 👍","ระดับสาม ปวดระดับน้อย เริ่มรบกวนสมาธิบ้างค่ะ"
"1. อาการปวด (Pain)",4,"ปวดปานกลาง เริ่มรบกวนการทำงาน 😐","ระดับสี่ ปวดปานกลาง เริ่มรบกวนการทำงานและการพักผ่อนค่ะ"
"1. อาการปวด (Pain)",5,"ปวดปานกลางค่อนข้างมาก ต้องนั่งพัก 😐","ระดับห้า ปวดปานกลางค่อนข้างมาก จำเป็นต้องนั่งพักผ่อนค่ะ"
"1. อาการปวด (Pain)",6,"ปวดมาก รบกวนการนอนและการใช้ชีวิต 😐","ระดับหก ปวดมาก รบกวนการนอนและการดำเนินชีวิตประจำวันค่ะ"
"1. อาการปวด (Pain)",7,"ปวดรุนแรง ขยับตัวลำบาก 😟","ระดับเจ็ด ปวดรุนแรง ขยับตัวลำบาก ควรแจ้งพยาบาลเพื่อรับยาแก้ปวดค่ะ"
"1. อาการปวด (Pain)",8,"ปวดรุนแรงมาก ไม่สามารถทำกิจกรรมอื่นได้ 😟","ระดับแปด ปวดรุนแรงมาก ไม่สามารถทำกิจกรรมอื่นได้ค่ะ"
"1. อาการปวด (Pain)",9,"ปวดรุนแรงแทบทนไม่ไหว ต้องการช่วยเหลือด่วน 🚨","ระดับเก้า ปวดรุนแรงแทบทนไม่ไหว ต้องการการช่วยเหลือด่วนค่ะ"
"1. อาการปวด (Pain)",10,"ปวดรุนแรงที่สุดเท่าที่จะจินตนาการได้ 🚨","ระดับสิบ ปวดรุนแรงที่สุดเท่าที่จะเป็นไปได้ค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",0,"หายใจสะดวกดีปกติ ไม่เหนื่อยเลย 😊","ระดับศูนย์ หายใจสะดวกดีปกติ ไม่เหนื่อยเลยค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",1,"หายใจเหนื่อยเล็กน้อยเมื่อออกแรงมาก 👍","ระดับหนึ่ง หายใจเหนื่อยเล็กน้อยเมื่อออกแรงมากค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",2,"หายใจตึงๆ เล็กน้อย เดินได้ปกติ 👍","ระดับสอง หายใจตึงเล็กน้อย ยังเดินได้ตามปกติค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",3,"หายใจเร็วขึ้นเล็กน้อยเมื่อเดินไกล 👍","ระดับสาม หายใจเร็วขึ้นเล็กน้อยเมื่อเดินไกลค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",4,"หายใจเหนื่อยปานกลาง พูดประโยคยาวได้ 😐","ระดับสี่ หายใจเหนื่อยปานกลาง ยังพอพูดประโยคยาวๆ ได้ค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",5,"หายใจเหนื่อย ต้องหยุดพักเป็นระยะ 😐","ระดับห้า หายใจเหนื่อย ต้องหยุดพักหายใจเป็นระยะค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",6,"หายใจหอบปานกลาง ต้องนั่งอิงหมอน 😐","ระดับหก หายใจหอบปานกลาง แนะนำจัดท่านอนนั่งอิงหมอนสูงค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",7,"หายใจเหนื่อยหอบมาก พูดได้ทีละคำ 😟","ระดับเจ็ด หายใจเหนื่อยหอบมาก พูดได้สั้นๆ ทีละคำค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",8,"หายใจเหนื่อยหอบรุนแรง ต้องใช้ออกซิเจนช่วย 😟","ระดับแปด หายใจเหนื่อยหอบรุนแรง ต้องใช้ออกซิเจนช่วยค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",9,"หายใจลำบากอย่างรุนแรง แน่นหน้าอก 🚨","ระดับเก้า หายใจลำบากอย่างรุนแรง รู้สึกแน่นหน้าอกมากค่ะ"
"2. หายใจเหนื่อยหอบ (Shortness of Breath)",10,"เหนื่อยหอบรุนแรงที่สุด ต้องการช่วยเหลือด่วน 🚨","ระดับสิบ เหนื่อยหอบรุนแรงที่สุด ต้องการการช่วยเหลือด่วนค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",0,"กระฉับกระเฉงดี สดชื่นปกติ 😊","ระดับศูนย์ กระฉับกระเฉงดี สดชื่นปกติค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",1,"อ่อนเพลียเล็กน้อยหลังทำกิจกรรม 👍","ระดับหนึ่ง อ่อนเพลียเล็กน้อยหลังทำกิจกรรมค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",2,"เหนื่อยล้าเล็กน้อย ยังทำกิจวัตรได้ 👍","ระดับสอง เหนื่อยล้าเล็กน้อย ยังทำกิจวัตรประจำวันได้ค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",3,"เพลียเล็กน้อย ต้องการนั่งพักผ่อน 👍","ระดับสาม เพลียเล็กน้อย ต้องการนั่งพักผ่อนค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",4,"เหนื่อยล้าปานกลาง เริ่มอยากนอนพัก 😐","ระดับสี่ เหนื่อยล้าปานกลาง เริ่มอยากนอนพักผ่อนค่ะ"
"3. ความเหนื่อยล้า/อ่อนเพลีย (Tiredness)",5,"อ่อนเพลียปานกลาง ขยับตัวช้าลง 😐","ระดับห้า อ่อนเพลียปานกลาง เริ่มขยับตัวทำสิ่งต่างๆ ช้าลงค่ะ"
